Date,IVV,BND,MO,JNJ,AWK,CB
2025-12-26,,,1.06,,,
2025-12-18,,0.247,,,,
2025-12-16,2.414,,,,,
2025-12-01,,0.239,,,,
2025-11-25,,,,1.3,,
2025-11-13,,,,,0.828,
2025-11-03,,0.244,,,,
2025-10-01,,0.237,,,,
2025-09-16,1.995,,,,,
2025-09-15,,,1.06,,,
2025-09-02,,0.243,,,,
2025-08-26,,,,1.3,,
2025-08-12,,,,,0.828,
2025-08-01,,0.242,,,,
2025-07-01,,0.235,,,,
2025-06-16,1.867,,1.02,,,
2025-06-13,,,,,,0.97
2025-06-02,,0.24,,,,
2025-05-27,,,,1.3,,
2025-05-13,,,,,0.828,
2025-05-01,,0.236,,,,
2025-04-01,,0.24,,,,
2025-03-25,,,1.02,,,
2025-03-18,1.765,,,,,
2025-03-14,,,,,,0.91
2025-03-03,,0.219,,,,
2025-02-18,,,,1.24,,
2025-02-07,,,,,0.765,
2025-02-03,,0.235,,,,
2024-12-26,,,1.02,,,
2024-12-24,,0.233,,,,
2024-12-17,2.134,,,,,
2024-12-13,,,,,,0.91
2024-12-02,,0.223,,,,
2024-11-26,,,,1.24,,
2024-11-12,,,,,0.765,
2024-11-01,,0.228,,,,
2024-10-01,,0.221,,,,
2024-09-25,2.235,,,,,
2024-09-16,,,1.02,,,
2024-09-13,,,,,,0.91
2024-09-03,,0.226,,,,
2024-08-27,,,,1.24,,
2024-08-13,,,,,0.765,
2024-08-01,,0.224,,,,
2024-07-01,,0.221,,,,
2024-06-14,,,0.98,,,0.91
2024-06-11,1.611,,,,,
2024-06-03,,0.219,,,,
2024-05-20,,,,1.24,,
2024-05-13,,,,,0.765,
2024-05-01,,0.214,,,,
2024-04-01,,0.216,,,,
2024-03-22,,,0.98,,,
2024-03-21,1.665,,,,,
2024-03-14,,,,,,0.86
2024-03-01,,0.202,,,,
2024-02-16,,,,1.19,,
2024-02-07,,,,,0.708,
2024-02-01,,0.212,,,,
